
合約月份      行使價       *開市  *全日最高 *全日最低 正式收市價   成交量  | *開市  *全日最高 *全日最低     結算價     結算價變動 引申波幅%   成交量  | *合約最高  *合約最低    成交量   未平倉合約 未平倉合約變動
                                             認購總計                 144  |                                             認購總計               9592  |  認購總計                 9736     93289        +3678

合約月份      行使價       *開市  *全日最高 *全日最低 正式收市價   成交量  | *開市  *全日最高 *全日最低     結算價     結算價變動 引申波幅%   成交量  | *合約最高  *合約最低    成交量   未平倉合約 未平倉合約變動
19 年 02 月   7800 認沽        0          0         0         0         0  |     0          0         0          1              0       60         0  |        24          1         0       440            0
19 年 02 月   7900 認沽        0          0         0         0         0  |     0          0         0          1              0       58         0  |        56          1         0       346            0
19 年 02 月   8000 認沽        0          0         0         0         0  |     0          0         0          1              0       56         0  |        38          1         0       418            0
19 年 02 月   8100 認沽        0          0         0         0         0  |     0          0         0          1              0       54         0  |        45          1         0       190            0
19 年 02 月   8200 認沽        0          0         0         0         0  |     0          0         0          1              0       52         0  |        48          1         0       598            0
19 年 02 月   8300 認沽        0          0         0         0         0  |     0          0         0          1              0       50         0  |        42          1         0        82            0
19 年 02 月   8400 認沽        0          0         0         0         0  |     0          0         0          1              0       48         0  |        60          2         0       575            0
19 年 02 月   8500 認沽        0          0         0         0         0  |     0          0         0          1              0       46         0  |        65          2         0        79            0
19 年 02 月   8600 認沽        0          0         0         0         0  |     0          0         0          1              0       44         0  |        72          2         0       524            0
19 年 02 月   8700 認沽        0          0         0         0         0  |     1          1         1          1              0       42         3  |        73          1         3      1019           +2
19 年 02 月   8800 認沽        0          0         0         0         0  |     1          1         1          1              0       40         1  |       108          1         1      1873           +1
19 年 02 月   8900 認沽        0          0         0         0         0  |     0          0         0          1              0       38         0  |       111          2         0       122            0
19 年 02 月   9000 認沽        0          0         0         0         0  |     2          2         2          1              0       37        52  |       134          2        52      2590          -27
19 年 02 月   9100 認沽        0          0         0         0         0  |     2          2         2          1              0       35        52  |       159          2        52      1820          -40
19 年 02 月   9200 認沽        0          0         0         0         0  |     2          2         2          1              0       33        21  |       176          2        21      1225          -10
